,,,,,,,,
,,,,,,,,
,,,,,,,,
Country,Survey,Characteristic,Fully vaccinated (8 basic antigens),,,,,
Congo Democratic Republic,2023-24 DHS,Total,20.9,,,,,
Congo Democratic Republic,2023-24 DHS,Sex : Male,21,,,,,
Congo Democratic Republic,2023-24 DHS,Sex : Female,20.8,,,,,
Congo Democratic Republic,2023-24 DHS,Residence : Urban,29.7,,,,,
Congo Democratic Republic,2023-24 DHS,Residence : Rural,17,,,,,
Congo Democratic Republic,2023-24 DHS,Education : No education,10.9,,,,,
Congo Democratic Republic,2023-24 DHS,Education : Primary,17.4,,,,,
Congo Democratic Republic,2023-24 DHS,Education : Secondary,24.5,,,,,
Congo Democratic Republic,2023-24 DHS,Education : Higher,46.3,,,,,
Congo Democratic Republic,2023-24 DHS,Education (2 groups) : No education or primary,14.8,,,,,
Congo Democratic Republic,2023-24 DHS,Education (2 groups) : Secondary or higher,26,,,,,
Congo Democratic Republic,2023-24 DHS,Wealth quintile : Lowest,12.9,,,,,
Congo Democratic Republic,2023-24 DHS,Wealth quintile : Second,15,,,,,
Congo Democratic Republic,2023-24 DHS,Wealth quintile : Middle,18.4,,,,,
Congo Democratic Republic,2023-24 DHS,Wealth quintile : Fourth,28.9,,,,,
Congo Democratic Republic,2023-24 DHS,Wealth quintile : Highest,33.4,,,,,
Congo Democratic Republic,2023-24 DHS,Birth order : 1,23.8,,,,,
Congo Democratic Republic,2023-24 DHS,Birth order : 2-3,20.2,,,,,
Congo Democratic Republic,2023-24 DHS,Birth order : 4-5,22,,,,,
Congo Democratic Republic,2023-24 DHS,Birth order : 6+,18.1,,,,,
Congo Democratic Republic,2023-24 DHS,Vaccination card : Card seen,54.4,,,,,
Congo Democratic Republic,2023-24 DHS,Vaccination card : Card not seen/no longer has,19.3,,,,,
Congo Democratic Republic,2023-24 DHS,Vaccination card : Never had,5.3,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Kinshasa (L1),41.6,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Bas-Congo (L1),18.9,,,,,
Congo Democratic Republic,2023-24 DHS,Bandundu,13.6,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Kwango (L1),13.7,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Kwilu (L1),13.4,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Mai-Ndombe (L1),14.9,,,,,
Congo Democratic Republic,2023-24 DHS,Equateur,9.3,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Equateur (>= 2015) (L1),9.7,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Mongala (L1),2.3,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Nord-Ubangi (L1),24.3,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Sud-Ubangi (L1),11.3,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Tshuapa (L1),1,,,,,
Congo Democratic Republic,2023-24 DHS,Orientale,14.7,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Bas-Uele (L1),4.2,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Haut-Uele (L1),4.4,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Ituri (L1),24.7,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Tshopo (L1),6.4,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Nord-Kivu (L1),38.4,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Maniema (L1),2.5,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Sud-Kivu (L1),23.8,,,,,
Congo Democratic Republic,2023-24 DHS,Katanga,18.5,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Haut-Katanga (L1),20.5,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Haut-Lomani (L1),16.3,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Lualaba (L1),20.1,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Tanganyka (L1),12.4,,,,,
Congo Democratic Republic,2023-24 DHS,Kasaï Oriental,19,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Kasai-Oriental (>= 2015) (L1),26.1,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Lomani (L1),13.8,,,,,
Congo Democratic Republic,2023-24 DHS,Provinces : Sankuru (L1),17.1,,,,,
Congo Democratic Republic,2023-24 DHS,Kasaï Occident,29.5,,,,,
