ISO,Country / Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,Afghanistan,,9769.0,2792.0,5166.0,2900.0,640.0,353.0,2012.0,1511.0,638.0,1154.0,492.0,430.0,2787.0,3013.0,1989.0,2861.0,1599.0,1141.0,1990.0,1296.0,466.0,798.0,2486.0,8762.0,6532.0,3609.0,2205.0,,,,,,,792.0,1609.0
ALB,Albania,,212.0,13.0,1.0,,4.0,488.0,1469.0,12.0,17.0,,,0.0,9.0,28.0,10.0,0.0,,22.0,68.0,6.0,7.0,8.0,16.0,18.0,662.0,797.0,1901.0,2386.0,1204.0,15.0,29.0,7.0,0.0,0.0,
DZA,Algeria,,488.0,203.0,47.0,,,2585.0,3356.0,112.0,41.0,63.0,0.0,25.0,18.0,112.0,103.0,107.0,217.0,0.0,944.0,2302.0,3289.0,15374.0,5862.0,2686.0,,2503.0,3301.0,19573.0,21003.0,8204.0,5913.0,3141.0,8823.0,5969.0,1796.0
ASM,American Samoa,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,19.0,498.0
AND,Andorra,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,,5.0,,,,,,,
AGO,Angola,,619.0,3508.0,3271.0,300.0,1085.0,2987.0,57.0,29.0,53.0,119.0,11699.0,8523.0,4458.0,1449.0,1190.0,2807.0,265.0,1014.0,765.0,258.0,29.0,1196.0,11945.0,9046.0,2219.0,350.0,2576.0,8183.0,251.0,635.0,5480.0,9273.0,16772.0,18382.0,29069.0
AIA,Anguilla,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
ATG,Antigua and Barbuda,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,Argentina,,,0.0,2.0,0.0,69.0,130.0,14.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,313.0,10229.0,125.0,59.0,655.0,134.0,5087.0,20551.0,42093.0,1967.0
ARM,Armenia,,561.0,554.0,0.0,0.0,0.0,7.0,19.0,1.0,2.0,33.0,13.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,137.0,2281.0,1783.0,4.0,40.0,69.0,15.0,41.0,52.0,802.0,2027.0,187.0,149.0,338.0,46.0,192.0,879.0
