Generated by http://statistics.gov.scot,2025-12-26T19:16:55+00:00
http://statistics.gov.scot/data/vacant-derelict-land,Derelict and Urban Vacant Land
measure type,Count
Area,Derelict Land
Measure (cell values): ,Count(Hectares)

,,http://reference.data.gov.uk/id/year/2002,http://reference.data.gov.uk/id/year/2003,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018,http://reference.data.gov.uk/id/year/2019
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,7786,7791,7834,7811,8598,8896,8858,8941,8780,8841,8846,8767,10877,10496,10399,9654,9070,8866
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,64,54,64,60,26,27,30,29,20,20,27,29,25,21,16,13,13,13
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,105,104,104,36,51,51,51,38,38,35,35,35,34,34,38,45,43,42
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,179,120,121,118,114,111,113,112,119,119,124,124,126,112,100,94,229,223
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,9,9,9,7,6,7,7,6,9,8,8,9,8,37,37,37,38,38
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,136,102,104,108,109,121,125,130,121,126,114,112,111,96,96,91,88,87
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,39,39,30,12,12,11,11,11,11,14,11,11,15,12,54,48,46,41
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,301,301,301,212,460,453,445,452,448,477,483,483,482,455,457,301,301,294
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,49,45,44,39,42,42,42,40,37,14,14,14,18,16,16,14,17,14
