Generated by http://statistics.gov.scot,2025-12-26T18:48:44+00:00
http://statistics.gov.scot/data/economic-inactivity,Economic Inactivity
measure type,Ratio
Age,16 years and over
Gender,All
Measure (cell values): ,Ratio(Percentage Of Population)

,,http://reference.data.gov.uk/id/quarter/2004-Q4,http://reference.data.gov.uk/id/quarter/2005-Q1,http://reference.data.gov.uk/id/quarter/2005-Q2,http://reference.data.gov.uk/id/quarter/2005-Q3,http://reference.data.gov.uk/id/quarter/2005-Q4,http://reference.data.gov.uk/id/quarter/2006-Q1,http://reference.data.gov.uk/id/quarter/2006-Q2,http://reference.data.gov.uk/id/quarter/2006-Q3,http://reference.data.gov.uk/id/quarter/2006-Q4,http://reference.data.gov.uk/id/quarter/2007-Q1,http://reference.data.gov.uk/id/quarter/2007-Q2,http://reference.data.gov.uk/id/quarter/2007-Q3,http://reference.data.gov.uk/id/quarter/2007-Q4,http://reference.data.gov.uk/id/quarter/2008-Q1,http://reference.data.gov.uk/id/quarter/2008-Q2,http://reference.data.gov.uk/id/quarter/2008-Q3,http://reference.data.gov.uk/id/quarter/2008-Q4,http://reference.data.gov.uk/id/quarter/2009-Q1,http://reference.data.gov.uk/id/quarter/2009-Q2,http://reference.data.gov.uk/id/quarter/2009-Q3,http://reference.data.gov.uk/id/quarter/2009-Q4,http://reference.data.gov.uk/id/quarter/2010-Q1,http://reference.data.gov.uk/id/quarter/2010-Q2,http://reference.data.gov.uk/id/quarter/2010-Q3,http://reference.data.gov.uk/id/quarter/2010-Q4,http://reference.data.gov.uk/id/quarter/2011-Q1,http://reference.data.gov.uk/id/quarter/2011-Q2,http://reference.data.gov.uk/id/quarter/2011-Q3,http://reference.data.gov.uk/id/quarter/2011-Q4,http://reference.data.gov.uk/id/quarter/2012-Q1,http://reference.data.gov.uk/id/quarter/2012-Q2,http://reference.data.gov.uk/id/quarter/2012-Q3,http://reference.data.gov.uk/id/quarter/2012-Q4,http://reference.data.gov.uk/id/quarter/2013-Q1,http://reference.data.gov.uk/id/quarter/2013-Q2,http://reference.data.gov.uk/id/quarter/2013-Q3,http://reference.data.gov.uk/id/quarter/2013-Q4,http://reference.data.gov.uk/id/quarter/2014-Q1,http://reference.data.gov.uk/id/quarter/2014-Q2,http://reference.data.gov.uk/id/quarter/2014-Q3,http://reference.data.gov.uk/id/quarter/2014-Q4,http://reference.data.gov.uk/id/quarter/2015-Q1,http://reference.data.gov.uk/id/quarter/2015-Q2,http://reference.data.gov.uk/id/quarter/2015-Q3,http://reference.data.gov.uk/id/quarter/2015-Q4,http://reference.data.gov.uk/id/quarter/2016-Q1,http://reference.data.gov.uk/id/quarter/2016-Q2,http://reference.data.gov.uk/id/quarter/2016-Q3,http://reference.data.gov.uk/id/quarter/2016-Q4,http://reference.data.gov.uk/id/quarter/2017-Q1,http://reference.data.gov.uk/id/quarter/2017-Q2,http://reference.data.gov.uk/id/quarter/2017-Q3,http://reference.data.gov.uk/id/quarter/2017-Q4,http://reference.data.gov.uk/id/quarter/2018-Q1,http://reference.data.gov.uk/id/quarter/2018-Q2,http://reference.data.gov.uk/id/quarter/2018-Q3,http://reference.data.gov.uk/id/quarter/2018-Q4,http://reference.data.gov.uk/id/quarter/2019-Q1,http://reference.data.gov.uk/id/quarter/2019-Q2,http://reference.data.gov.uk/id/quarter/2019-Q3,http://reference.data.gov.uk/id/quarter/2019-Q4,http://reference.data.gov.uk/id/quarter/2020-Q1,http://reference.data.gov.uk/id/quarter/2020-Q2,http://reference.data.gov.uk/id/quarter/2020-Q3,http://reference.data.gov.uk/id/quarter/2020-Q4,http://reference.data.gov.uk/id/quarter/2021-Q1,http://reference.data.gov.uk/id/quarter/2021-Q2,http://reference.data.gov.uk/id/quarter/2021-Q3
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,37.1,37.1,37.2,37,37,36.9,36.8,36.8,36.3,36.2,36.3,36.2,36.5,36.5,36.4,36.4,36.8,36.7,36.7,36.6,36.8,37.1,37.3,37.3,37.2,37.2,37.3,37.5,37.5,37.6,37.5,37.6,37.7,37.8,38,38,37.8,37.6,37.5,37.4,37.5,37.3,37.6,37.4,37.5,37.9,38,38.3,38.3,38.2,38.3,38.1,38,37.9,37.8,37.9,38.1,37.9,37.9,38,38.2,38.7,38.8,39.1,39,39.3,39.8,39.6
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,34.1,33,32.2,32.1,31.5,32,31.9,30.7,30,30.3,30.1,31.1,31.3,31.6,32.1,32,31.9,31.6,31.1,31.2,31.3,31.1,30.8,29.8,29.3,29.8,30.4,31.1,30.9,30.6,29.6,30.6,30,31.3,32.3,31.3,31.3,32.3,31.5,31.2,32.6,31,31.4,30.9,31.9,32.1,33.1,35.8,36,34.7,35.3,34.5,33.9,34,32.2,31.7,32.4,31.6,30.5,30.1,31.2,31.3,31.2,34,34.4,32.4,33.4,30.9
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,31.1,31.6,31.9,31.9,31.8,31.9,31.8,31.8,31,30.4,29.9,31.2,31.3,31.6,31.5,31.3,31.6,32.2,31.3,31,31.3,31.2,30.8,30.7,30.3,30.3,30.7,31.2,31.2,32.4,32.3,32.1,31.7,30.4,31.7,31.5,31.8,31.7,31.1,31.7,31.1,31.3,31.4,31.3,32.7,32.5,32.8,32,32.6,33.2,33.5,33.2,32.1,33.1,33.2,34,34,33.9,33.5,33.9,34,34.2,34,34.2,32.5,34.6,36.5,36.2
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,38.8,38.1,38,37,37.6,37.1,36.2,35.9,34.9,35.4,34.6,35.8,36.1,36.1,36.2,36.3,36.3,36.3,36.6,37.3,38.3,38,39.4,39.4,38.6,38.1,38.5,39.1,39.3,40.1,39.2,38.2,38.7,39.9,39.6,40.2,39.6,40.1,39.6,39.9,41.8,41.1,41.2,41,39.4,38.4,38.4,37,38.4,39.3,39.6,40.3,40.2,40.2,40,40.8,40.6,40.4,41.7,41.8,42.2,40.7,40.5,41.1,42.8,43.5,45.1,43.8
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,38.2,38.1,39,38.9,38.8,38.3,38.1,37.5,37.1,37.2,36.6,37.2,37.6,37.2,38.1,37.4,38,39.5,40,39.3,39,39.2,39.6,40.5,40.8,40.5,39.6,40.1,41.1,40.7,41,40.3,41.8,42.5,42.1,41.6,40,40.7,39.8,39.1,39.3,39.6,40.5,41.2,40.8,40.6,40.3,40.4,40,39.6,39.8,41.2,42.2,41.3,41.5,41,40.9,42.9,43.8,43.1,42.1,43.3,43.2,43.4,43.9,43.7,45.1,47
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,35.1,34,35.2,33.9,33.8,34.4,33.3,34.5,34.3,33.6,34.6,34.4,34.4,35.6,33.8,33.5,33.8,33.1,33.4,33.8,34.9,36.3,37.7,37.4,37.2,36,35.6,34.9,35.8,36.4,36.4,37.5,35.2,34.2,34.3,33.7,35.6,35,35.5,35.9,35.4,35.6,35.5,36.2,35.7,36.5,36.9,36.9,36.7,35.9,34.5,34.1,34.1,33.7,33.5,32.1,31.6,31.2,32.2,33.8,34.9,33.5,32.4,33.4,32.7,32.5,33.8,33.4
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,38.7,38.1,37.6,38.4,38.8,39.1,39.5,39.3,38.8,37.5,37,37.5,39.3,39.8,41.7,40,40.1,41,40.3,39.9,39.6,37.5,37.7,35.5,34.3,35.2,35.9,38.9,40.2,39.5,39.4,40,40.8,40.3,41.2,41.1,39.4,39.3,38.5,39,39.8,39.4,39.6,38.9,39.1,39.9,39.7,40.2,40.8,39.8,39.5,38.8,39.7,40.4,40.9,40.9,40,40.9,41.2,43.4,41.7,40.8,40.2,38,38.4,40.2,42.8,46.1
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,38.6,38.8,38.9,38.3,38.9,38.1,37.8,37.9,37.7,38.5,39.3,40.1,39.7,39,38,38.4,39.4,39.6,39.2,39.5,39,40.1,41.5,40.7,41.2,41.9,42.3,42.1,42.3,42.5,41.3,41.8,42.3,42,42.7,42.7,42.8,42.6,42.1,43.1,42.5,41.9,41.4,40.2,39.8,39.4,40.6,40.9,41.5,42.4,42.8,41.5,41.6,41.8,41.9,44.8,45.3,44.2,44.5,43.8,43.1,44.8,45.5,46.6,47.3,47.8,47.4,45.7
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,40.9,39.6,39,40.1,39.6,40,40.3,40.2,39.7,39,38.2,38.1,39.3,38.5,39.6,39.5,40,41,39.8,39.6,39.4,38.7,38.5,37.9,37.7,37.4,37,37.6,39.2,40.3,41.2,41.7,40.9,40.3,40.8,41.7,42.2,43.6,42.7,42.5,43.5,41.5,42.5,43.1,42.5,42.1,42,41.5,41.8,44,45.1,45,44.2,44.7,43.7,42.3,41.7,42.6,42.2,42,41.5,38.5,39.8,41,39.2,40,37.8,36.9
