Datazone,DZname,LAname,Income_Domain,Employment_Domain,Education_Domain,Health_Domain,Crime_Domain
S01009758,Darnley East - 01,Glasgow City,5861.5,4396.0,4903,3273,5523.0
S01009759,Darnley East - 02,Glasgow City,23.0,168.0,1291,255,791.0
S01009760,Darnley East - 03,Glasgow City,1083.0,971.0,715,881,2079.0
S01009761,Darnley East - 04,Glasgow City,2784.0,3348.0,2530,2782,5459.0
S01009762,Darnley East - 05,Glasgow City,830.0,1946.0,547,1499,1904.0
S01009763,Darnley East - 06,Glasgow City,5008.0,5428.0,5511,6391,6138.0
S01009764,Darnley North - 01,Glasgow City,577.0,983.5,1752,821,1930.0
S01009765,Darnley North - 02,Glasgow City,2062.0,2833.0,3476,1432,4535.0
S01009766,Darnley North - 03,Glasgow City,4678.0,4387.0,3946,3244,2479.0
S01009767,Darnley North - 04,Glasgow City,2348.0,2635.0,2135,1183,443.0
S01009768,Darnley West - 01,Glasgow City,1279.0,1297.0,1909,1604,3817.0
S01009769,Darnley West - 02,Glasgow City,4126.0,5229.0,4159,3061,3011.0
S01009770,Darnley West - 03,Glasgow City,4071.0,4267.0,4186,3801,4995.0
S01009771,Darnley West - 04,Glasgow City,3593.0,4696.0,4507,3791,6219.0
S01009772,Darnley West - 05,Glasgow City,4684.0,4430.0,4171,5055,6055.0
S01009773,Darnley West - 06,Glasgow City,3715.0,5190.0,3719,5456,6608.0
S01009774,Darnley West - 07,Glasgow City,3631.0,4908.0,4564,4942,6204.0
S01009775,Nitshill - 01,Glasgow City,155.0,217.0,485,19,83.0
S01009776,Nitshill - 02,Glasgow City,77.0,137.0,482,176,810.0
S01009777,Nitshill - 03,Glasgow City,331.0,399.0,826,784,927.0
S01009778,Nitshill - 04,Glasgow City,181.0,276.0,429,186,2379.0
S01009779,Nitshill - 05,Glasgow City,235.0,1165.0,170,187,700.0
S01009780,Nitshill - 06,Glasgow City,132.0,200.0,15,83,833.0
S01009781,Nitshill - 07,Glasgow City,390.0,887.0,554,532,1624.0
S01009782,Nitshill - 08,Glasgow City,1770.0,1971.0,848,1603,1954.0
S01009783,Nitshill - 09,Glasgow City,308.0,368.0,452,178,4814.0
S01009784,Crookston South - 01,Glasgow City,164.0,512.0,306,139,2034.0
S01009785,Crookston South - 02,Glasgow City,394.0,621.0,504,254,1740.0
S01009786,Crookston South - 03,Glasgow City,122.0,313.0,365,197,404.0
S01009787,Crookston South - 04,Glasgow City,188.0,192.0,62,101,1355.0
S01009788,Crookston North - 01,Glasgow City,1624.0,1648.5,1562,1423,3599.0
S01009789,Crookston North - 02,Glasgow City,997.0,1068.0,1425,782,514.0
S01009790,Crookston North - 03,Glasgow City,1791.0,1968.0,1458,1880,5842.0
S01009791,Crookston North - 04,Glasgow City,483.0,814.0,646,603,1601.0
S01009792,Pollok South and West - 01,Glasgow City,4256.0,5205.0,5039,4801,4902.0
S01009793,Pollok South and West - 02,Glasgow City,4509.0,4902.0,5872,4026,5473.0
S01009794,Pollok South and West - 03,Glasgow City,5735.0,6044.0,6008,5421,4466.0
S01009795,Pollok South and West - 04,Glasgow City,5378.0,5136.0,5727,5811,6007.0
S01009796,Pollok South and West - 05,Glasgow City,4448.0,4995.5,4010,3892,6614.5
S01009797,Pollok South and West - 06,Glasgow City,4195.0,4658.0,3843,4082,1847.0
S01009798,Pollok South and West - 07,Glasgow City,5515.0,6146.0,4813,5362,4837.0
S01009799,Pollok North and East - 01,Glasgow City,91.0,310.0,546,74,324.0
S01009800,Pollok North and East - 02,Glasgow City,968.0,1227.0,1509,658,3248.0
S01009801,Pollok North and East - 03,Glasgow City,478.0,700.0,581,904,1095.0
S01009802,Pollok North and East - 04,Glasgow City,819.5,1080.0,1980,1006,1986.0
S01009803,Pollok North and East - 05,Glasgow City,421.0,664.0,1108,399,2508.0
S01009804,Pollok North and East - 06,Glasgow City,2729.0,761.0,4226,1893,449.0
S01009805,Pollok North and East - 07,Glasgow City,579.0,908.0,522,954,1178.0
S01009806,Cardonald South and East - 01,Glasgow City,1217.0,1123.0,2479,725,135.0
S01009807,Cardonald South and East - 02,Glasgow City,2135.0,3001.0,2168,2527,4870.0
S01009808,Cardonald South and East - 03,Glasgow City,2203.0,2642.0,1569,1813,4741.0
S01009809,Cardonald South and East - 04,Glasgow City,1908.0,1767.0,2148,1527,1377.0
S01009810,Cardonald North - 01,Glasgow City,418.0,538.0,992,729,2282.0
S01009811,Cardonald North - 02,Glasgow City,730.0,856.0,926,614,2288.0
S01009812,Cardonald North - 03,Glasgow City,1210.0,1232.0,1904,709,1862.0
S01009813,Cardonald North - 04,Glasgow City,95.0,481.0,1142,837,761.0
S01009814,Cardonald North - 05,Glasgow City,2724.0,3000.0,3761,2064,2626.0
S01009815,Cardonald West and Central - 01,Glasgow City,1591.0,1008.0,3329,1289,1469.0
S01009816,Cardonald West and Central - 02,Glasgow City,2698.0,3823.0,2303,3060,4912.0
S01009817,Cardonald West and Central - 03,Glasgow City,1475.0,1270.0,2704,1797,2748.0
S01009818,Cardonald West and Central - 04,Glasgow City,4052.0,4425.0,4310,4511,5592.0
S01009819,Cardonald West and Central - 05,Glasgow City,2366.0,2668.0,3096,1430,1993.0
S01009820,Cardonald West and Central - 06,Glasgow City,2467.0,1967.0,3825,2361,1166.0
S01009821,Cardonald West and Central - 07,Glasgow City,3255.0,3636.0,2800,3433,2229.0
S01009822,Penilee - 01,Glasgow City,1828.0,2513.0,3614,2357,3147.0
S01009823,Penilee - 02,Glasgow City,931.0,877.0,1102,800,1545.0
S01009824,Penilee - 03,Glasgow City,1264.0,1942.0,1673,1595,5190.0
S01009825,Penilee - 04,Glasgow City,1061.0,954.0,1289,713,1878.0
