Planning Authority,Site Name,Address,East,North,Site Size,Site Type,Period when site became Vacant or Derelict,Datazone,lon,lat,Start Year
Glasgow City,,S OF LONDON RD,263160,662621,5.46,Derelict,1981-1985,S01010065,-4.186615072871048,55.83734701368458,1981
Glasgow City,,CLYDESMILL DRIVE,264402,661410,1.95,Derelict,1981-1985,S01010071,-4.166194209583189,55.826824809090475,1981
Glasgow City,DIXON BLAZES,INDUSTRIAL EST. CATHCART ROAD,259126,663171,3.39,Derelict,1980 or earlier,S01010033,-4.251259870610427,55.84112365392378,1980
Glasgow City,,CALEDONIA ROAD/ LAWMOOR STREET/ CATHCART ROAD,258971,663582,0.89,Vacant Land,1981-1985,S01010033,-4.253946602431228,55.84476829312454,1981
Glasgow City,GLASGOW HARBOUR,CASTLEBANK ST / BENALDER ST,255995,666350,0.92,Derelict,1980 or earlier,S01010387,-4.302903847930786,55.86873888442501,1980
Glasgow City,LAURIESTON,BEDFORD STREET/ STIRLINGFAULD PL NORFOLK COURT,258961,664350,1.36,Derelict,1981-1985,S01010035,-4.254505487814279,55.85166042658171,1981
Glasgow City,CALE' RD CHURCH,HOSPITAL STREET/ CATHCART ROAD/ CUMBERLAND ST,258939,663890,0.3,Vacant Land and Buildings,1981-1985,S01010033,-4.254617375669549,55.84752413975255,1981
Glasgow City,,EGLINTON STREET/ TURRIF ST/ MACINLAY ST,258547,663663,0.64,Vacant Land,1981-1985,S01010034,-4.2607546238159335,55.845371318952736,1981
Glasgow City,,MACKINLAY STREET TURRIF ST/POLLO- KSHAWS ROAD.,258622,663707,0.29,Vacant Land,1981-1985,S01010034,-4.259580754759659,55.84578834131817,1981
Glasgow City,,NORTH OF 473 CALEDONIA RD,259721,663394,0.26,Vacant Land,1981-1985,S01010023,-4.241881483868826,55.84329918038407,1981
Glasgow City,,AULDHOUSE BURN/ WELLMEADOW ROAD,255327,660735,2.1,Vacant Land,1981-1985,S01009938,-4.310575655879793,55.81812962365616,1981
Glasgow City,,N OF HILLINGTON RD/ADJ TO RENFREW DIST.,252681,665530,0.94,Vacant Land,1981-1985,S01009833,-4.355369071302163,55.86037565906842,1981
Glasgow City,,WEST OF 295 EDMISTON DRIVE,254662,664746,0.21,Derelict,1981-1985,S01009848,-4.323326713138501,55.85393874958521,1981
Glasgow City,,SOUTH OF EDMISTON DRIVE,255140,664470,3.24,Derelict,1981-1985,S01009843,-4.315550319694448,55.851604816014174,1981
Glasgow City,GLASGOW HARBOUR,E OF MEADOWSIDE STREET,255593,666163,7.78,Vacant Land,1980 or earlier,S01010387,-4.309222645423482,55.86693976172023,1980
Glasgow City,CARDONALD BIS PK,S OF F.P. PLACE/ EAST OF FIFTY PITCHES ROAD,252921,665127,1.8,Derelict,1981-1985,S01009833,-4.3513194492569705,55.85683110002902,1981
Glasgow City,,NORTH OF 585 GOVAN RD,255945,665432,0.31,Vacant Land,1981-1985,S01009859,-4.3032141619933615,55.86048249237171,1981
Glasgow City,,REAR OF 30-70 JOHNSTONE AVENUE HILLINGTON,252762,665047,0.74,Vacant Land,1981-1985,S01009833,-4.353813795576729,55.85606437607411,1981
Glasgow City,,N OF HEPBURN RD,252702,665280,2.5,Vacant Land,1981-1985,S01009833,-4.354898019677298,55.858137755216916,1981
Glasgow City,,WEST OF 268 NITSHILL ROAD,252077,660490,0.16,Vacant Land,1981-1985,S01009779,-4.3622638808096355,55.81494525229505,1981
Glasgow City,,DOVE STREET / NITSHILL ROAD,252156,660204,1.16,Vacant Land,1981-1985,S01009779,-4.360848797952728,55.81240193776495,1981
Glasgow City,,PINMORE STREET,251843,660648,0.31,Vacant Land,1981-1985,S01009776,-4.366080811508464,55.81629191151482,1981
Glasgow City,GLASGOW HARBOUR,YORKHILL QUAY/ FERRY ROAD.,256089,665823,3.14,Vacant Land,2006,S01010283,-4.301123101489234,55.86403576407196,2006
Glasgow City,,NORTH OF 168 KELVINHAUGH ST,256534,665853,0.19,Vacant Land,1980 or earlier,S01010286,-4.294034755401846,55.86443778131313,1980
Glasgow City,,SIGHTHILL FREIGHT TERMINAL SPRINGBURN RD,261088,666801,1.55,Derelict,1981-1985,S01010225,-4.221814414454837,55.87428336591764,1981
Glasgow City,,BLOCHAIRN ROAD/ SEIMENS ROAD.,261626,666379,1.27,Vacant Land,1981-1985,S01010229,-4.213007139239835,55.87064943391499,1981
Glasgow City,,AUCHINLOCH ST/ PETERSHILL ROAD.,260796,667034,0.17,Vacant Land,1981-1985,S01010225,-4.2265972924370825,55.87629096053515,1981
Glasgow City,,REAR OF 42-78 GARDENSIDE CRESCENT.,264682,661526,0.78,Vacant Land,1981-1985,S01010071,-4.16178579165153,55.82794492081568,1981
Glasgow City,,STATION ROAD.,268184,663647,0.14,Vacant Land,1981-1985,S01010090,-4.106953023834347,55.847958472403214,1981
Glasgow City,,BOGBAIN ROAD.,267394,665841,0.23,Vacant Land,1981-1985,S01010122,-4.120634578625844,55.867441176310464,1981
Glasgow City,,WEST OF HORNDEAN CRESCENT.(EASTER Q'LIE IND EST,265489,665988,0.51,Vacant Land,1981-1985,S01010129,-4.151125778258645,55.86823294110841,1981
Glasgow City,,DUNPHAIL ROAD/ ABBEYCRAIG ROAD.,268942,665900,0.99,Vacant Land,1981-1985,S01010109,-4.095944587468074,55.86839451220674,1981
Glasgow City,DARNLEY MAINS,DARNLEY MAINS,253389,658785,5.05,Vacant Land,1981-1985,S01009767,-4.340426360554665,55.80003889432283,1981
Glasgow City,,WEST OF 556 DALMARNOCK RD,261333,663023,1.16,Derelict,1981-1985,S01010046,-4.2159694040222195,55.84043448600451,1981
Glasgow City,,FRENCH ST / COLVEND ST,260831,663141,0.35,Vacant Land,1980 or earlier,S01010046,-4.224039668903052,55.84134931533798,1980
Glasgow City,N.I.S.A.,SPRINGFIELD ROAD KINNEAR ROAD GAILES STREET,262061,663771,2.16,Derelict,1980 or earlier,S01010050,-4.204733812876708,55.84735897675069,1980
Glasgow City,,EAST OF ATLAS ROAD.,260746,667632,0.89,Derelict,1981-1985,S01010212,-4.227703400123307,55.881645386895244,1981
