Datazone,dist_km,Income_Domain_Rank,Employment_Domain_Rank,Education_Domain_Rank,Health_Domain_Rank,Crime_Domain_Rank,Access_Domain_Rank
S01009758,0.5713026102467132,5861.5,4396.0,4903,3273,5523.0,3216
S01009759,0.2894445882050861,23.0,168.0,1291,255,791.0,6001
S01009760,0.15933270421408904,1083.0,971.0,715,881,2079.0,5706
S01009761,0.36229462369051496,2784.0,3348.0,2530,2782,5459.0,3720
S01009762,0.31701896531972296,830.0,1946.0,547,1499,1904.0,6870
S01009763,0.6702832977316017,5008.0,5428.0,5511,6391,6138.0,1888
S01009764,0.6450359348655097,577.0,983.5,1752,821,1930.0,4219
S01009765,0.5857524509985077,2062.0,2833.0,3476,1432,4535.0,3354
S01009766,0.48203927587863626,4678.0,4387.0,3946,3244,2479.0,1910
S01009767,0.9266746729072894,2348.0,2635.0,2135,1183,443.0,2977
S01009768,0.03849876445152884,1279.0,1297.0,1909,1604,3817.0,3631
S01009769,0.22276228292805464,4126.0,5229.0,4159,3061,3011.0,2097
S01009770,0.7086327620716472,4071.0,4267.0,4186,3801,4995.0,2175
S01009771,0.38843802256383925,3593.0,4696.0,4507,3791,6219.0,2225
S01009772,0.48139304143771505,4684.0,4430.0,4171,5055,6055.0,1822
S01009773,0.49268494068367197,3715.0,5190.0,3719,5456,6608.0,2342
S01009774,0.7686715819968776,3631.0,4908.0,4564,4942,6204.0,1093
S01009775,0.8866678029984089,155.0,217.0,485,19,83.0,5151
S01009776,0.23492742600366873,77.0,137.0,482,176,810.0,2939
S01009777,0.436333771306881,331.0,399.0,826,784,927.0,4055
S01009778,0.20395760152173795,181.0,276.0,429,186,2379.0,4777
S01009779,0.1256906527334853,235.0,1165.0,170,187,700.0,4928
S01009780,0.8149017417356218,132.0,200.0,15,83,833.0,2474
S01009781,0.4242788789418752,390.0,887.0,554,532,1624.0,4597
S01009782,0.6234371404490371,1770.0,1971.0,848,1603,1954.0,2223
S01009783,0.4668928162827543,308.0,368.0,452,178,4814.0,2660
S01009784,0.07995722441993622,164.0,512.0,306,139,2034.0,2479
S01009785,0.19011751993498108,394.0,621.0,504,254,1740.0,4526
S01009786,0.6259141689639823,122.0,313.0,365,197,404.0,5546
S01009787,0.2944969441844073,188.0,192.0,62,101,1355.0,4129
S01009788,0.5233442653198285,1624.0,1648.5,1562,1423,3599.0,4150
S01009789,0.5627673835914,997.0,1068.0,1425,782,514.0,4657
S01009790,0.20296137929551983,1791.0,1968.0,1458,1880,5842.0,4044
S01009791,0.4930603018009711,483.0,814.0,646,603,1601.0,4813
S01009792,0.5355736324962286,4256.0,5205.0,5039,4801,4902.0,2743
S01009793,1.0086604762810543,4509.0,4902.0,5872,4026,5473.0,3666
S01009794,0.7055611744916742,5735.0,6044.0,6008,5421,4466.0,3116
S01009795,0.911152428147963,5378.0,5136.0,5727,5811,6007.0,3739
S01009796,0.9055687208157932,4448.0,4995.5,4010,3892,6614.5,1419
S01009797,0.2617206929720843,4195.0,4658.0,3843,4082,1847.0,4050
S01009798,0.6538869463584884,5515.0,6146.0,4813,5362,4837.0,2888
S01009799,0.05080612309980742,91.0,310.0,546,74,324.0,4026
S01009800,0.747905102517027,968.0,1227.0,1509,658,3248.0,3438
S01009801,0.35903337340557284,478.0,700.0,581,904,1095.0,3504
S01009802,0.5661373686545854,819.5,1080.0,1980,1006,1986.0,2809
S01009803,0.5514169684294857,421.0,664.0,1108,399,2508.0,4455
S01009804,0.26628602483230085,2729.0,761.0,4226,1893,449.0,2203
S01009805,0.6578626048189783,579.0,908.0,522,954,1178.0,3943
S01009806,0.045701977081548086,1217.0,1123.0,2479,725,135.0,5595
S01009807,0.36333773338645675,2135.0,3001.0,2168,2527,4870.0,4273
S01009808,0.43323758108324273,2203.0,2642.0,1569,1813,4741.0,2831
S01009809,0.5870996797126903,1908.0,1767.0,2148,1527,1377.0,4503
S01009810,0.34168114926159976,418.0,538.0,992,729,2282.0,5008
S01009811,0.5092719447719027,730.0,856.0,926,614,2288.0,5809
S01009812,0.632552397715158,1210.0,1232.0,1904,709,1862.0,6617
S01009813,0.4164047490128172,95.0,481.0,1142,837,761.0,4276
S01009814,0.6074856638361208,2724.0,3000.0,3761,2064,2626.0,6169
S01009815,0.6541554468391589,1591.0,1008.0,3329,1289,1469.0,6482
S01009816,0.8941551223142151,2698.0,3823.0,2303,3060,4912.0,6334
S01009817,0.37330691590533105,1475.0,1270.0,2704,1797,2748.0,3051
S01009818,0.939867801424023,4052.0,4425.0,4310,4511,5592.0,5914
S01009819,0.9429841651175731,2366.0,2668.0,3096,1430,1993.0,6568
S01009820,0.8519643266881582,2467.0,1967.0,3825,2361,1166.0,6521
S01009821,0.9406679134468725,3255.0,3636.0,2800,3433,2229.0,5786
S01009822,1.4011974986908824,1828.0,2513.0,3614,2357,3147.0,2515
S01009823,1.1283253895432903,931.0,877.0,1102,800,1545.0,1799
S01009824,1.0988210696330798,1264.0,1942.0,1673,1595,5190.0,1942
S01009825,0.9077313129801746,1061.0,954.0,1289,713,1878.0,3527
S01009826,0.9821329053082849,818.0,1157.5,711,1278,2945.0,5602
S01009827,1.281516828606016,1113.0,935.0,729,739,2756.0,2244
S01009828,1.2118047206336593,144.0,73.0,849,133,2930.0,5620
S01009829,0.49373065359979745,1228.0,560.0,1751,654,2355.0,4350
S01009830,0.34829755029974857,1410.0,2205.0,1092,2249,3443.0,4558
S01009831,0.5825124250414613,3025.0,4500.0,1358,2761,4780.0,6863
S01009832,0.8895486181249619,2577.0,3099.0,3016,2666,1647.0,6695
S01009833,0.11699638732805737,2648.0,2193.0,1823,1339,9.0,1717
S01009834,0.22735776519664555,911.0,932.0,1651,840,1546.0,3559
S01009835,0.4302364273558251,737.0,672.0,499,358,2042.0,4420
S01009836,0.36472537903190855,3036.0,2470.0,2967,1295,3170.0,2308
S01009837,0.6321538949769726,780.0,669.0,1641,142,3485.0,3449
S01009838,0.6023256651109223,833.0,720.0,2248,666,1416.0,5316
S01009839,0.3756500765269871,409.0,395.0,736,349,530.0,5575
