Generated by http://statistics.gov.scot,2025-12-26T16:56:36+00:00
http://statistics.gov.scot/data/earnings,Earnings
measure type,Mean
Gender,All
Population Group,Residence Based
Working Pattern,All Patterns
Measure (cell values): ,Mean(Pounds (GBP))

,,http://reference.data.gov.uk/id/year/2002,http://reference.data.gov.uk/id/year/2003,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018,http://reference.data.gov.uk/id/year/2019,http://reference.data.gov.uk/id/year/2020,http://reference.data.gov.uk/id/year/2021
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,357.5,372.4,378.5,394.8,409.9,424.4,444.6,456.6,462.7,464.3,472.1,485.4,482.7,490.4,507.6,517.4,528.9,547.5,560.9,576
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,382.6,403.7,414.6,429.5,438.6,466.3,464,492.8,508.4,520.2,527.6,533.6,548.4,551.6,527.1,555.2,565.6,601.8,577.8,548
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,386.7,380.3,392,412.6,424.9,447.4,496.4,516.6,510.9,497.8,511.4,547.5,549.1,545.7,524.6,523.2,554.6,580.8,564,584
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,336.5,360.2,355.1,382.9,383.5,396.8,426.2,422.7,417.5,418.4,424.2,425.7,443.2,446.3,462,470.6,484.5,486.2,515.1,525.8
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,362.1,351.4,344.6,363.2,374.2,363.9,402.1,410.6,448.5,436.1,418,423.8,420.8,475.8,446.9,419.3,438.7,438.7,490.3,479.5
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,409.5,416.6,420.8,452.8,479.4,484.3,501.1,516.8,515.2,529.2,536.4,558.8,523.6,536.2,581.5,593.8,591.7,607.3,652.7,655.6
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,362.4,326,334,348.3,378.3,390.5,418.6,409.8,429.2,449.7,428.6,440.3,438.6,488,483.5,500.1,487.1,537,548.4,577
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,319.9,334.3,347.6,353.2,381.4,388.3,410,409.3,407.1,421.1,413.3,428.3,432.2,419.4,442.8,454.2,465.3,470.1,490.2,492.6
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,317.5,331.3,331.6,359.8,374.4,383.9,405.8,416.3,441.4,419.9,409.8,435.2,446,435.7,441.4,472.1,482,496.7,507.3,513.6
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,345.3,346,348.2,369.1,378.6,417.8,415.1,417,431.7,423.3,441.4,444.9,439.8,456.3,474.9,490,503.8,523.8,533.2,546.3
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,418.2,459.7,439.7,472,496.4,467,509.8,551.4,542.9,549.6,552,591.4,577.7,556.8,609.8,604.9,652.2,676.1,715.6,735.6
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,345.1,359.8,381,396.5,412.5,432.4,473.9,473.1,490.4,486.9,477.3,504.4,490.3,475.1,497.3,522,530.2,572.4,568,567.9
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,500.3,492.4,439.1,461.6,506.4,492.2,533.8,538.3,586.8,591.5,563.8,582.4,604.1,644.9,684.1,657.6,722.4,786,834.2,782.9
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,325,348.7,363.3,367.1,376.1,416.1,424.2,439.5,439.3,446.7,460,462.8,465.2,475.7,510.2,497.7,510.9,513.7,533.8,546.9
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,346.6,368.8,375,378.2,388.5,413.1,430.8,438.5,449.4,435.3,447.8,460.9,469.4,477.9,494,485.7,510.2,502.2,537.1,549.7
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,329.6,356.7,364.4,384.7,390,396.8,422,452.5,443.5,451.5,465.1,478.3,464.7,474.7,494,492.1,514.9,533.6,552.6,577
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,318.5,343.2,349.5,360.7,366.3,384.6,411.5,410.2,435.8,428.5,430.9,429.1,442.7,440.7,481.3,492.4,485.9,512.6,513.4,559.3
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,321.6,361.6,374,394,390.2,369.8,425.4,428.5,409.6,417.3,420.9,443,454.8,465.6,477.6,472.8,475.4,467.7,455.8,505.5
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,334.6,368.7,381,381.3,407.9,427,436.3,438.6,474.5,443.7,429.6,452.9,463.8,498,488.7,508,521.9,527.8,532.2,571.8
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,292.7,312.9,320.3,321.7,344.7,353.4,368.5,375.2,397,410.6,403.6,415.1,400.1,412.3,431.5,446.7,449.3,482.8,525.7,530
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,335.3,323.2,335.1,367.2,392.8,384,402.7,437.5,399.3,378.6,384.8,416.6,400.4,450.8,399.6,477.4,441.8,500.4,495.4,597.8
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,338,367.7,377,423.6,420.1,435.6,420.6,421.1,439.4,439,448.8,461.9,461.8,451.8,477.4,494.5,503.3,525.9,534.5,562.5
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,331.4,340.4,353.5,365.5,379.4,400.4,413.8,417.5,427.3,429.1,436.1,456.1,456.3,462.7,490.7,497.9,508.8,527.2,545.5,551.1
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,322.2,302.9,328.6,387.7,345.8,372.1,402.6,396.1,412,388.5,407.5,394.9,427.1,408.4,457.4,390.5,436,442.8,508.9,521.8
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,358.2,363.6,368.3,380.9,432,412.7,434.3,442.7,431.7,428.4,452.7,463.8,482.6,492.4,498,510.8,528.1,546.5,561.9,554.9
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,347.7,350.1,381.7,396.7,408.3,416.8,480.5,467.9,471.4,476.7,477.3,494.4,498.5,494.6,514.7,511.5,524.6,558.8,549.1,594.3
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,350.4,350.8,347.2,376.9,396.4,428.2,422.4,426.4,429.6,422.7,429.8,461.7,457.7,471.1,479.1,504.6,494,512.8,487.3,507.5
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,322.7,329.9,357.5,390.2,346.5,445.4,439.1,466.1,462.3,462.5,484.6,491.1,452.5,485.8,522.2,512.9,550.5,560.2,500.7,629.6
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,391.1,411,403.3,449.4,429.2,451.2,462.1,476.8,500.2,484.3,505.4,507,494.1,498.1,525.9,537.2,551.1,563.5,559.4,568.6
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,369.8,385.2,395.3,393.6,412.9,436.9,446.6,458.2,462.4,458.1,470.6,483.9,482.4,496.4,502,529.6,537.4,550.3,578.4,587.1
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,436,496.8,440.7,447.6,497.7,514.5,549.4,578.2,547.8,568.2,607.7,580,578,588.6,654.9,696.1,640,683.1,606.5,694.2
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,311.4,342.5,345.3,348.7,354.4,397.6,408.6,411.2,420.4,429.2,438.8,463.5,438.7,432.7,478,500.4,475.4,481.6,531,563.9
