Generated by http://statistics.gov.scot,2025-12-26T19:19:16+00:00
http://statistics.gov.scot/data/recorded-crime,Recorded Crimes and Offences
measure type,Count
Crime or Offence,All Crimes
Measure (cell values): ,Count(Crimes Or Offences Recorded)

,,http://reference.data.gov.uk/id/government-year/1996-1997,http://reference.data.gov.uk/id/government-year/1997-1998,http://reference.data.gov.uk/id/government-year/1998-1999,http://reference.data.gov.uk/id/government-year/1999-2000,http://reference.data.gov.uk/id/government-year/2000-2001,http://reference.data.gov.uk/id/government-year/2001-2002,http://reference.data.gov.uk/id/government-year/2002-2003,http://reference.data.gov.uk/id/government-year/2003-2004,http://reference.data.gov.uk/id/government-year/2004-2005,http://reference.data.gov.uk/id/government-year/2005-2006,http://reference.data.gov.uk/id/government-year/2006-2007,http://reference.data.gov.uk/id/government-year/2007-2008,http://reference.data.gov.uk/id/government-year/2008-2009,http://reference.data.gov.uk/id/government-year/2009-2010,http://reference.data.gov.uk/id/government-year/2010-2011,http://reference.data.gov.uk/id/government-year/2011-2012,http://reference.data.gov.uk/id/government-year/2012-2013,http://reference.data.gov.uk/id/government-year/2013-2014,http://reference.data.gov.uk/id/government-year/2014-2015,http://reference.data.gov.uk/id/government-year/2015-2016,http://reference.data.gov.uk/id/government-year/2016-2017,http://reference.data.gov.uk/id/government-year/2017-2018,http://reference.data.gov.uk/id/government-year/2018-2019,http://reference.data.gov.uk/id/government-year/2019-2020,http://reference.data.gov.uk/id/government-year/2020-2021,http://reference.data.gov.uk/id/government-year/2021-2022,http://reference.data.gov.uk/id/government-year/2022-2023,http://reference.data.gov.uk/id/government-year/2023-2024,http://reference.data.gov.uk/id/government-year/2024-2025
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,488968,471246,485710,490049,472551,481580,473237,471569,511834,490066,497424,459032,451563,410336,394155,383936,334613,331629,315779,306274,298154,304215,305699,305220,299452,286464,289351,299790,299111
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,30794,31725,33963,35708,32948,32041,29691,27780,28781,29055,27525,26007,25518,22906,23316,22500,19911,18926,17413,17612,17217,15558,14261,14326,14281,15781,14807,14857,14319
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,13368,12109,11928,12589,12774,11566,10361,11154,13184,13650,12859,10412,10854,10056,10253,9613,9201,8834,7605,8280,8264,8187,8157,8526,7621,8155,8050,7741,7670
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,7612,7676,7393,7528,6575,7448,7349,7047,6775,7010,7457,6883,7322,6052,5848,4992,4924,5201,5150,5117,4683,4747,4305,4419,4403,4732,4635,4711,4688
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,5607,4731,4934,4815,4774,4786,4955,5295,6436,5923,6459,6121,5674,5147,4919,4720,3922,3626,3437,3287,2833,2926,3032,3191,3195,3003,3186,3464,3469
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,54885,52764,53975,62576,60096,59607,56576,59129,59478,56987,56619,52804,51573,46692,45026,42852,37162,42401,42098,38525,36117,39790,38076,36815,32673,32032,32175,34976,38116
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,2852,2887,3063,3054,3478,3662,3817,4041,4154,4554,5844,5404,4684,3906,4048,3747,3199,2944,3074,2991,2706,2929,2847,3046,3062,2779,2697,2873,2645
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,9262,10412,9964,9605,8832,9286,11683,12488,12779,11565,11615,10047,9190,8498,8364,7513,6588,6890,6445,7603,7640,7886,8634,8373,8103,8605,7722,7881,7774
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,24171,20572,19617,19266,18097,19127,18535,18601,19147,17744,18264,16867,15643,14225,14785,12041,11142,11473,10780,11207,11065,11036,11099,12083,12735,12004,12543,12573,11771
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,10322,9314,10155,10185,10009,11309,9712,8872,11132,9800,10195,10332,9936,9716,9335,9147,7596,7205,7436,7350,6705,6435,6373,6841,6574,6427,6183,6570,6434
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,6954,6791,6846,5927,5918,5457,5145,4914,6169,5391,5640,4859,4719,4807,4742,4645,4166,3733,3411,3133,3427,3155,3456,3464,3716,2879,2771,2623,2641
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,4809,4919,4807,5673,5034,5172,5448,5038,5684,5575,6169,5263,5354,5376,5324,4610,4022,4312,4129,4118,4242,4451,4839,4734,4682,4404,4595,5214,4757
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,7070,5247,5379,5103,4372,4231,4359,4600,5115,4878,4737,4023,4051,3629,3718,3453,2951,2484,2550,2425,2636,2957,2638,2664,2543,2184,2303,2379,2602
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,9938,9893,10702,10733,9902,10466,11099,12137,12437,11400,12152,11818,11493,10029,10486,10315,9320,9168,8666,8151,7585,8825,8846,9068,8296,7967,7810,8062,8032
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,27736,26047,26420,30859,29743,31461,33390,36563,40539,35696,36011,30792,29743,26092,23450,22623,19400,20966,18729,18201,18054,18699,18728,17718,18244,19154,20553,19892,18901
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,98626,100095,104976,98039,95732,94492,93551,86173,91045,88563,88394,81782,81524,74661,70399,74122,64016,60831,57504,52777,53990,54447,55081,53286,52053,48846,50128,50558,52406
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,13475,11891,12409,13138,13724,14558,14391,14762,16241,15500,17909,17077,17075,15027,14374,14584,12331,10738,9252,10043,10088,10034,9641,9255,9339,9284,10095,11083,10256
