Scottish Vacant and Derelict Land Survey (SVDLS) Site Register 2024,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,
The table is a register of vacant and derelict sites and includes a variety of information about those sites in 2024.,,,,,,,,,,,,, ,
"Total sites on the register number 3,154 and include 93 urban vacant sites in settlements with a population under 2,000.
These 93 sites are not included in the main figures in the SVDLS 2024 statistical publication but are reported separately in Annex Table 2.",,,,,,,,,,,,,,
Go to Background and Notes,,,,,,,,,,,,,,
Go to Variables in Register,,,,,,,,,,,,,,
Go to Contact Details,,,,,,,,,,,,,,
Planning Authority ,Site Code,Site Name (If Supplied),Address (If Supplied),East,North,Site Size (Hectares),Site Type,Location of Site,Owner 1,Owner 2,Period when site became Vacant or Derelict,Previous Use of Site,Development Potential,Datazone
Loch Lomond and the Trossachs National Park,Arrochar VE1,FORMER TORPEDO RANGE,ARROCHAR,228745,703979,3.61,Derelict,Site in countryside,Defence,Not applicable  (i.e. only one owner),2001-2004,Utility Services,Developable - Short Term,S01007358
Loch Lomond and the Trossachs National Park,Balloch VE4,WOODBANK,LUSS ROAD BALLOCH,238181,681790,0.81,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1981-1985,Residential - Housing,Developable - Undetermined,S01013207
Loch Lomond and the Trossachs National Park,Carrick Castle H1,FORMER HOTEL SITE,CARRICK CASTLE CARRICK CASTLE,219391,694326,0.53,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Unknown,Developable - Short Term,S01007355
Loch Lomond and the Trossachs National Park,Drymen MU1,SALMON LEAP,MAIN STREET DRYMEN,247474,688465,0.25,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01013010
Loch Lomond and the Trossachs National Park,Lochearnhead H1,HOLIDAY CENTRE,A84 LOCHEARNHEAD,258858,723441,0.56,Vacant Land,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Medium Term,S01013119
Loch Lomond and the Trossachs National Park,Lochearnhead MU1,STATION COTTAGES,A85 LOCHSIDE ROAD LOCHEARNHEAD,258892,723896,0.92,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Transport,Developable - Medium Term,S01013119
Loch Lomond and the Trossachs National Park,Tarbet VE1,TOURIST INFORMATION CENTRE SITE AND ADJOINING LAND,A82 TARBET,231897,704498,0.16,Derelict,"Site in settlement with population equal to or over 2,000",Other National/Local Government,Not applicable  (i.e. only one owner),2001-2004,Unknown,Developable - Short Term,S01007358
Loch Lomond and the Trossachs National Park,Tarbet VE3,FORMER HARVEYS GARAGE SITE,A82 TARBET,232243,704744,0.42,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2001-2004,Utility Services,Developable - Short Term,S01007358
Aberdeen City,200020,EX GARAGE AND THE COLWYN,868-870 GREAT NORTHERN ROAD ABERDEEN,391250,809190,0.58,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Other National/Local Government,1996-2000,Retailing,Developable - Undetermined,S01006681
Aberdeen City,2004-15,DUNBAR HALLS,DON STREET ABERDEEN,394075,808775,1.23,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,"Residential - Hotels, Hostels etc",Unknown (uncertain/insufficient information),S01006671
Aberdeen City,2007-8,PERSLEY FARM BUILDINGS,PERSLEY ABERDEEN,391030,810050,0.35,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Agriculture,Developable - Undetermined,S01006762
Aberdeen City,2008-2,BROADFORD WORKS,HUTCHEON STREET ABERDEEN,393610,806890,3.7,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Developable - Short Term,S01006648
Aberdeen City,2009-4,BALGOWNIE MACHINE CENTRE,GREAT NORTHERN ROAD ABERDEEN,393110,807850,0.21,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Other,Developable - Undetermined,S01006657
Aberdeen City,2010-4,CULTS PUMPING STATION,NORTH DEESIDE ROAD ABERDEEN,389500,803140,0.32,Derelict,"Site in settlement with population equal to or over 2,000",Water Authority,Not applicable  (i.e. only one owner),2009,Utility Services,Developable - Medium Term,S01006523
Aberdeen City,2010-5,LOGIE STORES,LOGIE PLACE ABERDEEN,391090,808960,0.13,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Retailing,Developable - Short Term,S01006726
