Country,MedalType,Count
United States‡,Gold,40
China,Gold,40
Japan,Gold,20
Australia,Gold,18
France*,Gold,16
Netherlands,Gold,15
Great Britain,Gold,14
South Korea,Gold,13
Italy,Gold,12
Germany,Gold,12
New Zealand,Gold,10
Canada,Gold,9
Uzbekistan,Gold,8
Hungary,Gold,6
Spain,Gold,5
Sweden,Gold,4
Kenya,Gold,4
Norway,Gold,4
Ireland,Gold,4
Brazil,Gold,3
Iran,Gold,3
Ukraine,Gold,3
Romania‡,Gold,3
Georgia,Gold,3
Belgium,Gold,3
Bulgaria,Gold,3
Serbia,Gold,3
Czech Republic,Gold,3
Denmark,Gold,2
Azerbaijan,Gold,2
Croatia,Gold,2
Cuba,Gold,2
Bahrain,Gold,2
Slovenia,Gold,2
Chinese Taipei,Gold,2
Austria,Gold,2
Hong Kong,Gold,2
Philippines,Gold,2
Algeria,Gold,2
Indonesia,Gold,2
Israel,Gold,1
Poland,Gold,1
Kazakhstan,Gold,1
Jamaica,Gold,1
South Africa,Gold,1
Thailand,Gold,1
Individual Neutral Athletes[A][B],Gold,1
Ethiopia,Gold,1
Switzerland,Gold,1
Ecuador,Gold,1
Portugal,Gold,1
Greece,Gold,1
Argentina,Gold,1
Egypt,Gold,1
Tunisia,Gold,1
Botswana,Gold,1
Chile,Gold,1
Saint Lucia,Gold,1
Uganda,Gold,1
Dominican Republic,Gold,1
Guatemala,Gold,1
Morocco,Gold,1
Dominica,Gold,1
Pakistan,Gold,1
Turkey,Gold,0
Mexico,Gold,0
Armenia,Gold,0
Colombia,Gold,0
Kyrgyzstan,Gold,0
North Korea,Gold,0
Lithuania,Gold,0
India,Gold,0
Moldova,Gold,0
Kosovo,Gold,0
Cyprus,Gold,0
Fiji,Gold,0
Jordan,Gold,0
Mongolia,Gold,0
Panama,Gold,0
Tajikistan,Gold,0
Albania,Gold,0
Grenada,Gold,0
Malaysia,Gold,0
Puerto Rico,Gold,0
Cape Verde,Gold,0
Ivory Coast,Gold,0
Peru,Gold,0
Qatar,Gold,0
Refugee Olympic Team,Gold,0
Singapore,Gold,0
Slovakia,Gold,0
Zambia,Gold,0
United States‡,Silver,44
China,Silver,27
Japan,Silver,12
Australia,Silver,19
France*,Silver,26
Netherlands,Silver,7
Great Britain,Silver,22
South Korea,Silver,9
Italy,Silver,13
Germany,Silver,13
New Zealand,Silver,7
Canada,Silver,7
Uzbekistan,Silver,2
Hungary,Silver,7
Spain,Silver,4
Sweden,Silver,4
Kenya,Silver,2
Norway,Silver,1
Ireland,Silver,0
Brazil,Silver,7
Iran,Silver,6
Ukraine,Silver,5
Romania‡,Silver,4
Georgia,Silver,3
Belgium,Silver,1
Bulgaria,Silver,1
Serbia,Silver,1
Czech Republic,Silver,0
Denmark,Silver,2
Azerbaijan,Silver,2
Croatia,Silver,2
Cuba,Silver,1
Bahrain,Silver,1
Slovenia,Silver,1
Chinese Taipei,Silver,0
Austria,Silver,0
Hong Kong,Silver,0
Philippines,Silver,0
Algeria,Silver,0
Indonesia,Silver,0
Israel,Silver,5
Poland,Silver,4
Kazakhstan,Silver,3
Jamaica,Silver,3
South Africa,Silver,3
Thailand,Silver,3
Individual Neutral Athletes[A][B],Silver,3
Ethiopia,Silver,3
Switzerland,Silver,2
Ecuador,Silver,2
Portugal,Silver,2
Greece,Silver,1
Argentina,Silver,1
Egypt,Silver,1
Tunisia,Silver,1
Botswana,Silver,1
Chile,Silver,1
Saint Lucia,Silver,1
Uganda,Silver,1
Dominican Republic,Silver,0
Guatemala,Silver,0
Morocco,Silver,0
Dominica,Silver,0
Pakistan,Silver,0
Turkey,Silver,3
Mexico,Silver,3
Armenia,Silver,3
Colombia,Silver,3
Kyrgyzstan,Silver,2
North Korea,Silver,2
Lithuania,Silver,2
India,Silver,1
Moldova,Silver,1
Kosovo,Silver,1
Cyprus,Silver,1
Fiji,Silver,1
Jordan,Silver,1
Mongolia,Silver,1
Panama,Silver,1
Tajikistan,Silver,0
Albania,Silver,0
Grenada,Silver,0
Malaysia,Silver,0
Puerto Rico,Silver,0
Cape Verde,Silver,0
Ivory Coast,Silver,0
Peru,Silver,0
Qatar,Silver,0
Refugee Olympic Team,Silver,0
Singapore,Silver,0
Slovakia,Silver,0
Zambia,Silver,0
United States‡,Bronze,42
China,Bronze,24
Japan,Bronze,13
Australia,Bronze,16
France*,Bronze,22
Netherlands,Bronze,12
Great Britain,Bronze,29
South Korea,Bronze,10
Italy,Bronze,15
Germany,Bronze,8
New Zealand,Bronze,3
Canada,Bronze,11
Uzbekistan,Bronze,3
Hungary,Bronze,6
Spain,Bronze,9
Sweden,Bronze,3
Kenya,Bronze,5
Norway,Bronze,3
Ireland,Bronze,3
Brazil,Bronze,10
Iran,Bronze,3
Ukraine,Bronze,4
Romania‡,Bronze,2
Georgia,Bronze,1
Belgium,Bronze,6
Bulgaria,Bronze,3
Serbia,Bronze,1
Czech Republic,Bronze,2
Denmark,Bronze,5
Azerbaijan,Bronze,3
Croatia,Bronze,3
Cuba,Bronze,6
Bahrain,Bronze,1
Slovenia,Bronze,0
Chinese Taipei,Bronze,5
Austria,Bronze,3
Hong Kong,Bronze,2
Philippines,Bronze,2
Algeria,Bronze,1
Indonesia,Bronze,1
Israel,Bronze,1
Poland,Bronze,5
Kazakhstan,Bronze,3
Jamaica,Bronze,2
South Africa,Bronze,2
Thailand,Bronze,2
Individual Neutral Athletes[A][B],Bronze,1
Ethiopia,Bronze,0
Switzerland,Bronze,5
Ecuador,Bronze,2
Portugal,Bronze,1
Greece,Bronze,6
Argentina,Bronze,1
Egypt,Bronze,1
Tunisia,Bronze,1
Botswana,Bronze,0
Chile,Bronze,0
Saint Lucia,Bronze,0
Uganda,Bronze,0
Dominican Republic,Bronze,2
Guatemala,Bronze,1
Morocco,Bronze,1
Dominica,Bronze,0
Pakistan,Bronze,0
Turkey,Bronze,5
Mexico,Bronze,2
Armenia,Bronze,1
Colombia,Bronze,1
Kyrgyzstan,Bronze,4
North Korea,Bronze,4
Lithuania,Bronze,2
India,Bronze,5
Moldova,Bronze,3
Kosovo,Bronze,1
Cyprus,Bronze,0
Fiji,Bronze,0
Jordan,Bronze,0
Mongolia,Bronze,0
Panama,Bronze,0
Tajikistan,Bronze,3
Albania,Bronze,2
Grenada,Bronze,2
Malaysia,Bronze,2
Puerto Rico,Bronze,2
Cape Verde,Bronze,1
Ivory Coast,Bronze,1
Peru,Bronze,1
Qatar,Bronze,1
Refugee Olympic Team,Bronze,1
Singapore,Bronze,1
Slovakia,Bronze,1
Zambia,Bronze,1
United States‡,Total,126
China,Total,91
Japan,Total,45
Australia,Total,53
France*,Total,64
Netherlands,Total,34
Great Britain,Total,65
South Korea,Total,32
Italy,Total,40
Germany,Total,33
New Zealand,Total,20
Canada,Total,27
Uzbekistan,Total,13
Hungary,Total,19
Spain,Total,18
Sweden,Total,11
Kenya,Total,11
Norway,Total,8
Ireland,Total,7
Brazil,Total,20
Iran,Total,12
Ukraine,Total,12
Romania‡,Total,9
Georgia,Total,7
Belgium,Total,10
Bulgaria,Total,7
Serbia,Total,5
Czech Republic,Total,5
Denmark,Total,9
Azerbaijan,Total,7
Croatia,Total,7
Cuba,Total,9
Bahrain,Total,4
Slovenia,Total,3
Chinese Taipei,Total,7
Austria,Total,5
Hong Kong,Total,4
Philippines,Total,4
Algeria,Total,3
Indonesia,Total,3
Israel,Total,7
Poland,Total,10
Kazakhstan,Total,7
Jamaica,Total,6
South Africa,Total,6
Thailand,Total,6
Individual Neutral Athletes[A][B],Total,5
Ethiopia,Total,4
Switzerland,Total,8
Ecuador,Total,5
Portugal,Total,4
Greece,Total,8
Argentina,Total,3
