Country,MedalType,Count
United States‡,Gold,40
China,Gold,40
Great Britain,Gold,14
France*,Gold,16
Australia,Gold,18
Japan,Gold,20
Italy,Gold,12
Netherlands,Gold,15
Germany,Gold,12
South Korea,Gold,13
United States‡,Silver,44
China,Silver,27
Great Britain,Silver,22
France*,Silver,26
Australia,Silver,19
Japan,Silver,12
Italy,Silver,13
Netherlands,Silver,7
Germany,Silver,13
South Korea,Silver,9
United States‡,Bronze,42
China,Bronze,24
Great Britain,Bronze,29
France*,Bronze,22
Australia,Bronze,16
Japan,Bronze,13
Italy,Bronze,15
Netherlands,Bronze,12
Germany,Bronze,8
South Korea,Bronze,10
United States‡,Total,126
China,Total,91
Great Britain,Total,65
France*,Total,64
Australia,Total,53
Japan,Total,45
Italy,Total,40
Netherlands,Total,34
Germany,Total,33
South Korea,Total,32
