Planning Authority ,Site Code,Site Name,Address,East,North,Site Type,Location of Site,Datazone,lon,lat
Loch Lomond and the Trossachs National Park,Arrochar VE1,FORMER TORPEDO RANGE,ARROCHAR,228745,703979,Derelict,Site in countryside,S01007358,-4.761893994883328,56.19751939629396
Loch Lomond and the Trossachs National Park,Balloch VE4,WOODBANK,LUSS ROAD BALLOCH,238181,681790,Derelict,"Site in settlement with population equal to or over 2,000",S01013207,-4.596537913781161,56.001669186139154
Loch Lomond and the Trossachs National Park,Carrick Castle H1,FORMER HOTEL SITE,CARRICK CASTLE CARRICK CASTLE,219391,694326,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007355,-4.905899009310731,56.10744743066687
Loch Lomond and the Trossachs National Park,Drymen MU1,SALMON LEAP,MAIN STREET DRYMEN,247474,688465,Derelict,"Site in settlement with population under 2,000",S01013010,-4.451468895997806,56.06463316853767
Loch Lomond and the Trossachs National Park,Lochearnhead H1,HOLIDAY CENTRE,A84 LOCHEARNHEAD,258858,723441,Vacant Land,"Site in settlement with population under 2,000",S01013119,-4.2874257201457135,56.382116119244834
Loch Lomond and the Trossachs National Park,Lochearnhead MU1,STATION COTTAGES,A85 LOCHSIDE ROAD LOCHEARNHEAD,258892,723896,Derelict,"Site in settlement with population under 2,000",S01013119,-4.287120472107937,56.38621078539222
Loch Lomond and the Trossachs National Park,Tarbet VE1,TOURIST INFORMATION CENTRE SITE AND ADJOINING LAND,A82 TARBET,231897,704498,Derelict,"Site in settlement with population equal to or over 2,000",S01007358,-4.7114833114448045,56.203300664733476
Loch Lomond and the Trossachs National Park,Tarbet VE3,FORMER HARVEYS GARAGE SITE,A82 TARBET,232243,704744,Derelict,"Site in settlement with population equal to or over 2,000",S01007358,-4.7060682432912,56.20563044852009
Aberdeen City,200020,EX GARAGE AND THE COLWYN,868-870 GREAT NORTHERN ROAD ABERDEEN,391250,809190,Derelict,"Site in settlement with population equal to or over 2,000",S01006681,-2.1463444709353765,57.17346160136685
Aberdeen City,2004-15,DUNBAR HALLS,DON STREET ABERDEEN,394075,808775,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006671,-2.0996146102273485,57.169779542435556
Aberdeen City,2007-8,PERSLEY FARM BUILDINGS,PERSLEY ABERDEEN,391030,810050,Derelict,"Site in settlement with population equal to or over 2,000",S01006762,-2.1500141688155012,57.181182623146576
Aberdeen City,2008-2,BROADFORD WORKS,HUTCHEON STREET ABERDEEN,393610,806890,Derelict,"Site in settlement with population equal to or over 2,000",S01006648,-2.107254863704323,57.152840285136314
Aberdeen City,2009-4,BALGOWNIE MACHINE CENTRE,GREAT NORTHERN ROAD ABERDEEN,393110,807850,Derelict,"Site in settlement with population equal to or over 2,000",S01006657,-2.1155461977733756,57.1614565894218
Aberdeen City,2010-4,CULTS PUMPING STATION,NORTH DEESIDE ROAD ABERDEEN,389500,803140,Derelict,"Site in settlement with population equal to or over 2,000",S01006523,-2.1750287203978957,57.11907750754915
Aberdeen City,2010-5,LOGIE STORES,LOGIE PLACE ABERDEEN,391090,808960,Derelict,"Site in settlement with population equal to or over 2,000",S01006726,-2.148982218466488,57.17139240648601
Aberdeen City,2011-10,FORMER FISH WORKS,PALMERSTON ROAD ABERDEEN,394290,805570,Derelict,"Site in settlement with population equal to or over 2,000",S01006587,-2.095984501032355,57.14099185605933
Aberdeen City,2012-2,1 WESTERN ROAD,ABERDEEN,392860,808830,Derelict,"Site in settlement with population equal to or over 2,000",S01006684,-2.119707856859071,57.170256010654185
Aberdeen City,2012-3,FORMER AMBASSADOR SNOOKER HALL,JOHN STREET ABERDEEN,393720,806630,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006648,-2.1054300378649753,57.15050625306842
Aberdeen City,2012-4,ST PETERS NURSERY SCHOOL,SPITAL ABERDEEN,393990,807720,Derelict,"Site in settlement with population equal to or over 2,000",S01006664,-2.1009942945103273,57.16030138376931
Aberdeen City,2012-5,FORMER GREENFERN INFANT SCHOOL,MAIDENCRAIG PLACE ABERDEEN,389740,806950,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006708,-2.1712236051075493,57.153308155009675
Aberdeen City,2012-6,FORMER BALGOWNIE CENTRE,NORTH DONSIDE ROAD BOD ABERDEEN,394510,810030,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006782,-2.0924495179170006,57.181058670152275
Aberdeen City,2012-7,FORMER VICTORIA ROAD PRIMARY SCHOOL,VICTORIA ROAD TORRY ABERDEEN,395460,805170,Derelict,"Site in settlement with population equal to or over 2,000",S01006631,-2.076644538828071,57.13741199171966
Aberdeen City,2014-1,FREDERICK STREET EAST,FREDERICK STREET ABERDEEN,394580,806570,Derelict,"Site in settlement with population equal to or over 2,000",S01006639,-2.091214844556561,57.149978440243665
Aberdeen City,2015-2,GRANITEHILL ROAD,NORTHFIELD ABERDEEN,390540,808460,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006724,-2.158058385212573,57.16688979161121
Aberdeen City,2016-3,FORMER TORRY NURSERY,OSCAR ROAD ABERDEEN,394690,804800,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006625,-2.0893583817289043,57.13407983298742
Aberdeen City,2016-5,FORMER CARDEN SCHOOL,GORDON TERRACE DYCE ABERDEEN,389030,812760,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01006753,-2.183217585823906,57.20548231395739
Aberdeen City,2016-6,ABERDEEN COLLEGE GORDON CENTRE,CORUNNA ROAD ABERDEEN,394860,809860,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01006782,-2.0866564476817087,57.17953571031017
Aberdeen City,2017-1,FORMER FINTRY HOUSE,PITMEDDEN ROAD/LAWSON DRIVE DYCE ABERDEEN,388560,813250,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006755,-2.19101989843867,57.209872315038645
Aberdeen City,2017-2,FORMER BUCKSBURN PRIMARY SCHOOL,INVERURIE ROAD/HOWES ROAD BUCKSBURN ABERDEEN,389690,809500,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006738,-2.172156623961173,57.176213527274044
Aberdeen City,2017-5,FORMER WOODLANDS SCHOOL,REGENT WALK ABERDEEN,394470,808150,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01006667,-2.0930686078198826,57.16417021443763
Aberdeen City,2018-2,FORMER STONEYWOOD SCHOOL,PROSPECT TERRACE STONEYWOOD ABERDEEN,389180,810960,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006743,-2.1806556736736495,57.18931671150731
Aberdeen City,2019-1,LAND AT NEWTON TERRACE/CAIRNFIELD PLACE,BUCKSBURN ABERDEEN,390000,809460,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006738,-2.1670278578498134,57.17586114734343
Aberdeen City,2019-10,WOODEND FARM,CULTER HOUSE ROAD PETERCULTER ABERDEEN,383710,801900,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01006512,-2.2705612368351855,57.107768563910774
Aberdeen City,2019-3,HAUDAGAIN TRIANGLE,LOGIE AVENUE ABERDEEN,391230,809040,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006726,-2.146669884474702,57.17211377327558
Aberdeen City,2019-4,FORMER SILVERBURN HOUSE,CLAYMORE DRIVE BOD ABERDEEN,394820,810830,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006788,-2.087338691311539,57.188248707617106
Aberdeen City,2019-5,ST MARGARET OF SCOTLAND CHAPEL WITH FORMER CONVENT,11/11A SPITAL ABERDEEN,394060,807390,Derelict,"Site in settlement with population equal to or over 2,000",S01006658,-2.0998290394810417,57.157337929215764
Aberdeen City,2019-6,FORMER MATALAN,119 CONSTITUTION STREET ABERDEEN,394840,806870,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01006637,-2.0869240289307043,57.15267639696692
Aberdeen City,2019-9,ABERDEEN ONE LOGISTICS PARK,CRAWPEEL ROAD ABERDEEN,394820,802300,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01006623,-2.0871578044836223,57.11162376509769
