date,region,item,mean
2003-02-01,East Anglia,KEBAB- TAKEAWAY,3.2375
2003-02-01,East Midlands,KEBAB- TAKEAWAY,2.975
2003-02-01,London,KEBAB- TAKEAWAY,3.15
2003-02-01,North,KEBAB- TAKEAWAY,3.3500001
2003-02-01,North West,KEBAB- TAKEAWAY,2.9
2003-02-01,Northern Ireland,KEBAB- TAKEAWAY,2.7166665
2003-02-01,Scotland,KEBAB- TAKEAWAY,3.223077
2003-02-01,South East,KEBAB- TAKEAWAY,3.1088235
2003-02-01,South West,KEBAB- TAKEAWAY,3.107143
2003-02-01,Wales,KEBAB- TAKEAWAY,3.0649998
2003-02-01,West Mindlands,KEBAB- TAKEAWAY,2.9657893
2003-02-01,Yorkshire & Humber,KEBAB- TAKEAWAY,2.635294
2003-03-01,East Anglia,KEBAB- TAKEAWAY,3.2375
2003-03-01,East Midlands,KEBAB- TAKEAWAY,2.9916666
2003-03-01,London,KEBAB- TAKEAWAY,3.012
2003-03-01,North,KEBAB- TAKEAWAY,3.2428572
2003-03-01,North West,KEBAB- TAKEAWAY,2.9615386
2003-03-01,Northern Ireland,KEBAB- TAKEAWAY,2.7166665
2003-03-01,Scotland,KEBAB- TAKEAWAY,3.2307692
2003-03-01,South East,KEBAB- TAKEAWAY,3.1279411
2003-03-01,South West,KEBAB- TAKEAWAY,3.1078947
2003-03-01,Wales,KEBAB- TAKEAWAY,3.098
2003-03-01,West Mindlands,KEBAB- TAKEAWAY,2.9375
2003-03-01,Yorkshire & Humber,KEBAB- TAKEAWAY,2.635294
2003-04-01,East Anglia,KEBAB- TAKEAWAY,3.2625
2003-04-01,East Midlands,KEBAB- TAKEAWAY,2.890625
2003-04-01,London,KEBAB- TAKEAWAY,2.9925928
2003-04-01,North,KEBAB- TAKEAWAY,3.1857142
2003-04-01,North West,KEBAB- TAKEAWAY,2.9942307
2003-04-01,Northern Ireland,KEBAB- TAKEAWAY,2.7166665
2003-04-01,Scotland,KEBAB- TAKEAWAY,3.1363637
2003-04-01,South East,KEBAB- TAKEAWAY,3.1374998
2003-04-01,South West,KEBAB- TAKEAWAY,3.1477273
2003-04-01,Wales,KEBAB- TAKEAWAY,3.1271427
2003-04-01,West Mindlands,KEBAB- TAKEAWAY,2.981579
2003-04-01,Yorkshire & Humber,KEBAB- TAKEAWAY,2.661111
2003-05-01,East Anglia,KEBAB- TAKEAWAY,3.2625
