CODE,NAME,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
ABW,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,97.0,95.0,,93.86,91.59,93.2,94.3,
AFG,Afghanistan,20.0,19.0,,25.0,40.0,,42.0,38.0,31.0,31.0,27.0,37.0,35.0,39.0,48.0,50.0,53.0,55.0,59.0,60.0,62.0,75.0,81.0,82.0,88.0,90.0,74.5,78.0,82.0,75.0,76.71,74.27,79.39,77.58,78.0,
AGO,Angola,38.0,39.0,21.0,47.0,44.0,65.0,41.0,78.0,80.0,46.0,,72.0,72.0,62.0,64.0,45.0,48.0,88.0,79.0,77.0,93.0,88.44,97.0,91.0,85.0,80.0,74.0,71.0,79.0,79.8,72.94,64.83,65.87,78.67,68.72,
AIA,Anguilla,99.0,99.0,99.0,99.0,99.0,92.0,99.0,92.0,96.0,99.0,99.0,92.0,,99.0,,92.0,,,,,,,,,,,,79.0,81.0,88.0,80.0,82.0,85.5,70.7,98.2,
ALB,Albania,,80.0,87.0,76.0,90.0,91.0,92.0,95.0,89.0,85.0,95.0,95.0,96.0,93.2,96.2,97.0,95.0,97.0,98.0,97.0,98.9,99.0,98.4,98.7,97.6,97.1,96.3,95.7,94.1,94.9,91.02,,,83.2,80.73,
AND,Andorra,,,,,,,,90.0,90.0,97.0,97.0,97.0,98.0,96.0,97.6,94.0,91.0,94.0,98.0,97.98,98.87,99.43,97.81,95.44,95.72,95.94,97.18,98.99,99.22,99.07,98.33,98.95,97.58,99.0,98.0,
ARE,United Arab Emirates,,82.0,85.0,90.0,90.0,90.0,90.0,95.0,95.0,96.0,94.0,94.0,94.0,94.0,94.0,92.0,92.0,92.0,,,94.0,,110.8,,138.0,100.0,100.0,99.0,100.0,100.0,99.53,99.0,98.0,98.0,98.0,
ARG,Argentina,93.0,109.0,92.0,95.0,96.0,99.0,103.0,93.0,111.0,97.0,91.0,89.0,95.0,96.8,99.1,110.0,97.2,93.6,96.4,103.0,104.9,95.4,94.1,93.6,94.8,89.0,90.23,90.0,94.0,86.0,77.3,86.43,84.61,79.51,82.1,
ARM,Armenia,,,93.0,95.0,95.0,96.0,89.0,92.0,94.0,92.0,91.6,95.5,59.5,93.8,91.5,94.0,92.0,92.0,94.0,96.0,97.0,97.0,97.21,97.18,96.91,97.0,97.03,96.0,95.0,95.0,94.44,94.21,94.65,95.76,96.14,
